emp_length,annual_inc,open_acc,credit_years,grade,home_ownership,purpose,addr_state,loan_status
7,200000,11,14,B,MORTGAGE,purchase,Other,1
1,30972,4,6,D,RENT,purchase,Other,0
3,112800,17,24,B,MORTGAGE,debt,NY,1
5,60000,6,27,B,RENT,debt,CA,0
10,85000,10,15,C,RENT,debt,Other,1
6,83000,4,7,C,RENT,purchase,GA,1
5,52000,6,7,B,RENT,purchase,Other,1
10,60000,8,12,C,RENT,debt,Other,1
3,72000,8,8,E,RENT,debt,Other,0
10,180000,9,16,E,MORTGAGE,purchase,GA,1
7,52800,12,14,D,MORTGAGE,debt,IL,1
2,56000,9,21,F,OWN,debt,Other,0
4,45000,10,12,A,MORTGAGE,debt,Other,1
4,36000,6,6,B,RENT,purchase,Other,1
5,52000,20,21,A,MORTGAGE,debt,Other,1
10,52000,6,11,B,RENT,debt,CA,1
4,125000,9,13,E,OWN,debt,Other,0
10,80000,14,24,B,MORTGAGE,debt,Other,1
5,68000,15,9,D,RENT,debt,Other,1
10,63000,13,18,D,MORTGAGE,debt,Other,1
7,48000,5,19,D,RENT,debt,Other,1
8,31500,9,27,A,RENT,debt,Other,1
10,65000,6,14,D,MORTGAGE,debt,IL,0
10,87504,15,12,A,MORTGAGE,debt,Other,1
5,58000,8,10,C,RENT,debt,Other,1
10,53000,8,22,D,RENT,debt,FL,1
6,115000,16,16,C,MORTGAGE,debt,Other,1
10,41000,5,30,D,RENT,debt,Other,1
10,35000,6,16,A,MORTGAGE,debt,Other,1
7,49920,10,6,D,RENT,debt,NY,1
10,57500,10,14,C,RENT,debt,Other,0
5,80000,9,16,A,RENT,debt,CA,1
3,21996,22,7,E,RENT,purchase,FL,1
8,60000,9,6,A,RENT,debt,CA,1
6,55000,10,12,C,RENT,debt,CA,1
1,25000,14,9,B,RENT,debt,Other,1
2,75000,17,8,B,RENT,debt,CA,1
1,37000,3,14,A,OWN,small_business,GA,1
10,30000,11,21,B,RENT,debt,Other,1
1,115000,12,11,E,MORTGAGE,debt,Other,0
10,43000,7,14,D,RENT,debt,FL,1
5,59000,10,11,A,MORTGAGE,purchase,Other,1
10,40000,10,11,D,MORTGAGE,debt,Other,0
1,80000,6,5,B,RENT,purchase,NY,1
5,31500,8,6,B,RENT,debt,Other,1
7,68000,9,9,E,MORTGAGE,debt,Other,1
1,24000,4,12,A,OWN,debt,Other,1
2,28800,6,13,A,MORTGAGE,debt,FL,1
2,45500,13,8,B,RENT,debt,Other,1
10,54000,17,12,B,RENT,debt,GA,1
4,50000,8,7,A,RENT,debt,Other,0
5,84000,6,9,B,MORTGAGE,purchase,FL,1
7,49152,23,19,B,MORTGAGE,purchase,GA,1
10,38400,6,24,D,RENT,purchase,CA,1
1,75000,6,5,C,OWN,debt,Other,1
5,60000,8,12,B,RENT,debt,Other,0
2,42000,8,17,B,RENT,debt,Other,1
2,31500,6,13,A,MORTGAGE,debt,CA,1
3,64000,8,14,A,MORTGAGE,debt,TX,1
1,68124,8,14,A,MORTGAGE,debt,Other,1
1,48000,10,8,E,OWN,debt,IL,1
3,24000,7,5,C,RENT,debt,Other,1
1,55000,11,12,E,RENT,debt,IL,1
3,85500,11,18,D,MORTGAGE,debt,GA,1
10,57000,8,12,B,RENT,debt,NY,1
9,40000,9,11,B,RENT,debt,Other,0
10,90000,16,16,A,MORTGAGE,debt,NY,1
10,120000,5,17,B,RENT,purchase,FL,1
10,108000,11,10,E,RENT,purchase,Other,0
6,21000,7,7,A,RENT,debt,Other,1
6,108000,8,9,C,RENT,purchase,Other,1
8,75000,7,14,B,RENT,debt,CA,1
1,41600,9,10,E,RENT,debt,NY,0
1,22300,11,14,C,OWN,debt,CA,1
10,110000,9,32,A,MORTGAGE,debt,CA,1
8,42000,8,9,C,MORTGAGE,debt,TX,1
5,42000,13,16,B,MORTGAGE,debt,Other,1
10,90000,18,22,A,MORTGAGE,debt,NY,1
4,65000,8,4,C,RENT,debt,Other,1
10,88000,11,16,B,MORTGAGE,purchase,Other,1
5,90000,4,8,A,MORTGAGE,purchase,Other,1
6,32993.73,12,7,B,RENT,debt,CA,0
9,80000,11,16,D,MORTGAGE,debt,Other,1
9,50000,9,15,A,RENT,debt,GA,1
10,54480,7,11,G,RENT,debt,Other,1
1,66000,9,5,C,RENT,purchase,Other,1
5,112000,11,17,C,RENT,debt,FL,1
5,85000,13,5,B,RENT,debt,Other,1
8,45200,7,20,C,MORTGAGE,debt,CA,1
5,53000,14,9,B,RENT,debt,CA,0
3,60000,7,8,C,MORTGAGE,debt,Other,1
3,82000,11,13,A,RENT,debt,CA,1
1,50000,5,10,A,RENT,debt,CA,1
2,80000,12,12,B,RENT,small_business,Other,1
2,35000,5,9,B,RENT,debt,TX,1
2,40000,9,11,B,RENT,debt,NY,1
7,32000,12,9,E,RENT,debt,FL,1
4,100000,16,16,C,MORTGAGE,debt,IL,1
2,60000,6,13,C,MORTGAGE,debt,Other,1
1,30000,14,6,A,RENT,debt,Other,0
4,50000,3,7,C,RENT,debt,CA,1
7,175000,3,18,E,MORTGAGE,purchase,Other,0
7,42000,10,10,D,RENT,debt,Other,0
5,45000,6,5,A,OWN,purchase,CA,1
1,58000,5,12,B,RENT,debt,CA,1
2,36000,15,9,B,RENT,purchase,IL,1
10,82570,9,9,C,RENT,debt,TX,1
10,60000,8,16,C,MORTGAGE,purchase,Other,1
6,49000,15,6,B,RENT,debt,Other,1
5,21600,3,10,A,OWN,purchase,Other,1
3,60000,4,11,D,RENT,debt,CA,0
10,50400,18,20,A,MORTGAGE,purchase,Other,1
5,100000,13,14,F,MORTGAGE,debt,CA,0
10,48000,10,11,F,RENT,debt,Other,1
9,29000,5,7,B,RENT,purchase,FL,1
10,70666.08,11,19,D,MORTGAGE,debt,GA,1
5,75500,11,8,B,RENT,debt,NY,1
10,85602,12,23,E,RENT,debt,CA,0
10,67200,7,14,A,MORTGAGE,purchase,Other,1
4,117996,9,8,A,MORTGAGE,purchase,CA,1
8,39870,8,20,B,RENT,purchase,IL,1
4,60000,7,13,C,RENT,small_business,FL,1
1,35000,4,3,D,RENT,debt,NY,1
3,48000,4,3,D,RENT,purchase,Other,1
5,105000,10,10,D,MORTGAGE,debt,Other,1
1,27120,15,10,A,RENT,purchase,Other,1
10,54000,12,12,C,MORTGAGE,debt,Other,0
2,60000,11,9,B,RENT,debt,Other,1
4,57960,10,16,D,OWN,debt,CA,1
6,40000,9,17,C,RENT,debt,Other,1
9,77000,11,13,D,MORTGAGE,debt,Other,1
10,150000,12,24,E,MORTGAGE,purchase,Other,1
4,75000,7,13,B,MORTGAGE,debt,CA,1
10,76519.82,8,32,E,MORTGAGE,debt,Other,1
7,80000,8,12,E,RENT,debt,TX,1
1,171600,13,16,D,RENT,debt,CA,1
1,45204,6,10,A,RENT,debt,Other,1
9,52000,9,18,D,MORTGAGE,debt,Other,0
1,40000,7,10,C,RENT,debt,Other,1
10,170000,16,22,B,MORTGAGE,debt,TX,1
5,62400,18,11,B,RENT,debt,CA,1
5,33000,8,8,B,MORTGAGE,small_business,GA,0
4,45000,4,3,F,RENT,purchase,NY,1
10,137000,9,22,E,OWN,debt,Other,1
2,52000,9,10,B,MORTGAGE,purchase,TX,1
10,60000,7,15,B,MORTGAGE,debt,Other,1
8,74000,8,14,A,MORTGAGE,debt,Other,1
10,74000,6,17,B,RENT,purchase,CA,1
5,72000,6,10,B,RENT,debt,CA,1
4,48000,8,13,D,RENT,debt,CA,1
10,54000,7,13,C,MORTGAGE,debt,Other,1
8,34000,19,26,B,RENT,debt,CA,1
6,50000,11,10,B,MORTGAGE,debt,Other,1
6,77000,11,26,B,MORTGAGE,debt,Other,1
10,165000,7,25,F,RENT,debt,NY,1
1,100450,8,14,B,RENT,debt,TX,1
9,47000,10,11,A,MORTGAGE,debt,Other,1
5,48000,10,12,C,RENT,debt,Other,1
6,130500,12,14,C,MORTGAGE,purchase,NY,1
2,99000,6,12,D,RENT,debt,TX,1
10,50000,6,24,A,MORTGAGE,purchase,Other,1
3,65000,13,15,B,RENT,debt,Other,1
4,65508,18,10,A,MORTGAGE,debt,FL,1
4,53481.36,15,22,A,OWN,debt,Other,1
5,80000,5,13,F,MORTGAGE,debt,IL,1
10,109000,6,23,A,MORTGAGE,purchase,Other,1
4,75000,8,40,C,MORTGAGE,debt,Other,1
4,40000,5,11,C,MORTGAGE,purchase,CA,1
2,26000,5,16,A,RENT,debt,Other,1
2,64000,6,14,A,RENT,purchase,CA,1
10,170000,9,21,F,OWN,purchase,Other,1
10,40000,9,21,B,RENT,debt,Other,1
4,101000,16,17,B,MORTGAGE,purchase,NY,1
10,105000,19,34,B,RENT,debt,Other,1
6,50000,8,11,C,MORTGAGE,debt,Other,1
1,60000,13,9,A,RENT,debt,Other,1
6,37500,9,7,B,RENT,debt,Other,1
10,39000,6,13,B,RENT,debt,TX,1
7,55000,8,8,D,OWN,debt,Other,1
10,33800,4,10,B,RENT,purchase,NY,1
7,40000,12,32,B,RENT,debt,Other,1
8,84000,16,14,A,OWN,purchase,Other,1
6,49000,10,16,A,RENT,debt,Other,1
10,50400,14,12,D,RENT,debt,CA,1
6,50000,5,7,C,MORTGAGE,debt,Other,1
9,75000,8,21,A,MORTGAGE,purchase,CA,1
10,67000,15,13,C,MORTGAGE,debt,TX,1
5,13288,5,4,D,RENT,debt,FL,1
1,57000,5,6,A,RENT,debt,Other,1
5,60000,6,12,C,RENT,purchase,FL,1
5,65500,9,14,C,OWN,debt,NY,1
4,45000,9,13,C,RENT,debt,FL,1
2,42000,4,12,A,RENT,debt,CA,0
7,50000,13,10,F,RENT,purchase,NY,1
7,89000,8,12,D,OWN,debt,CA,1
4,60000,6,8,A,RENT,debt,CA,1
1,72000,6,7,A,RENT,purchase,IL,1
6,30000,10,7,B,MORTGAGE,purchase,Other,1
10,60000,7,20,B,MORTGAGE,small_business,TX,0
10,75000,6,23,C,MORTGAGE,purchase,IL,1
4,43000,11,5,E,RENT,debt,Other,0
8,55000,4,18,C,RENT,debt,Other,1
4,68000,11,13,F,RENT,debt,FL,1
1,54000,13,11,C,RENT,debt,NY,1
1,60000,10,11,C,MORTGAGE,debt,Other,1
1,80000,9,10,B,RENT,debt,NY,1
1,58000,6,14,A,RENT,purchase,FL,1
3,35000,3,5,C,OWN,debt,Other,1
4,40000,10,4,D,RENT,debt,NY,1
10,37513,10,20,A,RENT,debt,FL,0
10,58000,5,12,D,MORTGAGE,debt,GA,1
10,75000,10,11,B,MORTGAGE,debt,Other,1
1,100000,8,5,D,MORTGAGE,purchase,Other,1
10,80000,12,22,C,RENT,debt,Other,1
10,62000,8,22,B,RENT,debt,CA,1
9,26000,7,5,B,RENT,debt,NY,1
2,54000,8,13,C,MORTGAGE,debt,TX,1
3,46000,14,8,B,RENT,debt,Other,1
9,96000,8,13,B,MORTGAGE,purchase,CA,1
10,75000,14,12,D,MORTGAGE,debt,TX,1
2,45000,7,7,C,RENT,debt,CA,1
1,114000,9,11,C,MORTGAGE,debt,Other,0
2,100000,7,17,D,MORTGAGE,debt,CA,1
10,108000,3,19,D,RENT,debt,CA,1
1,46000,10,7,A,RENT,debt,Other,1
7,62000,9,12,A,RENT,debt,Other,1
2,52000,9,10,B,RENT,debt,Other,1
4,60000,9,9,C,RENT,purchase,NY,1
1,60000,5,5,B,RENT,debt,Other,1
6,86923,8,15,B,MORTGAGE,debt,Other,1
10,62400,8,9,B,MORTGAGE,debt,Other,1
8,60000,10,10,B,MORTGAGE,debt,TX,1
6,91000,6,8,C,RENT,debt,FL,1
3,63000,12,12,B,RENT,debt,CA,1
6,82000,7,11,C,RENT,debt,NY,1
2,71040,9,15,F,RENT,debt,CA,0
10,63000,15,13,C,MORTGAGE,debt,GA,1
5,28800,7,7,A,RENT,debt,TX,1
1,68000,8,19,B,RENT,debt,Other,1
6,60000,12,14,C,MORTGAGE,debt,IL,0
7,40000,7,9,C,RENT,debt,Other,1
1,42000,7,9,B,RENT,debt,Other,1
2,42000,10,9,B,RENT,debt,Other,1
5,55560,7,18,C,RENT,debt,GA,1
2,75000,13,14,F,MORTGAGE,debt,CA,1
1,75000,11,17,D,RENT,debt,Other,1
10,95000,7,9,B,MORTGAGE,small_business,TX,1
1,27600,4,32,C,MORTGAGE,debt,GA,1
10,84000,11,15,D,RENT,debt,Other,1
9,70000,4,15,A,MORTGAGE,small_business,Other,1
10,92000,12,13,B,RENT,debt,NY,1
10,60000,16,14,B,MORTGAGE,purchase,IL,1
5,26400,6,10,C,RENT,debt,Other,0
9,90000,9,13,C,MORTGAGE,debt,Other,1
2,152004,11,12,E,MORTGAGE,purchase,CA,1
2,30000,6,5,A,RENT,debt,Other,1
2,102000,9,27,A,RENT,debt,TX,1
8,47000,8,10,C,RENT,debt,TX,1
10,55000,15,14,A,MORTGAGE,purchase,TX,1
1,57000,6,6,B,RENT,debt,Other,1
7,150000,12,17,C,RENT,purchase,CA,1
2,50000,10,9,B,RENT,debt,Other,1
4,50000,9,6,F,RENT,debt,CA,0
2,80000,13,28,A,RENT,debt,Other,0
1,65000,6,10,D,RENT,debt,Other,1
7,87000,6,5,C,RENT,debt,Other,1
10,88000,14,12,B,RENT,debt,Other,1
1,52008,8,14,E,RENT,debt,CA,0
3,40000,10,6,C,MORTGAGE,debt,Other,0
4,103000,9,15,B,MORTGAGE,debt,Other,1
3,125004,10,18,D,RENT,debt,Other,1
2,36475,19,7,B,RENT,debt,GA,0
10,78413,8,22,B,MORTGAGE,debt,Other,1
10,44000,10,18,A,OWN,debt,Other,1
1,62000,10,12,D,RENT,debt,CA,1
3,33000,9,10,A,RENT,debt,FL,1
9,63000,8,8,C,MORTGAGE,debt,Other,1
2,65000,9,5,A,RENT,small_business,FL,1
9,48000,6,11,B,MORTGAGE,debt,Other,1
5,53000,9,6,C,RENT,debt,CA,1
10,60000,10,15,E,OWN,debt,TX,1
4,95000,6,10,B,RENT,debt,CA,1
10,86779,18,19,D,RENT,purchase,NY,0
10,48000,6,12,B,RENT,debt,NY,1
4,83500,16,10,F,MORTGAGE,debt,Other,1
4,44400,3,4,D,RENT,purchase,Other,1
10,40000,13,11,C,RENT,debt,Other,1
3,102000,8,24,C,RENT,debt,Other,1
5,60000,11,10,C,OWN,debt,Other,1
10,37500,6,12,B,MORTGAGE,debt,Other,1
10,75000,9,12,E,MORTGAGE,debt,Other,0
1,50000,18,12,C,RENT,debt,FL,1
10,47840,11,18,B,RENT,debt,Other,1
10,40000,6,11,C,MORTGAGE,purchase,Other,1
6,80000,7,12,B,RENT,debt,IL,1
5,51000,11,10,B,RENT,debt,Other,1
10,65000,10,12,D,RENT,debt,Other,1
3,25056,12,8,B,MORTGAGE,purchase,Other,1
4,75000,15,24,D,MORTGAGE,debt,NY,1
10,40000,5,13,C,RENT,debt,FL,1
10,83000,7,8,B,RENT,debt,NY,1
7,61000,14,16,C,MORTGAGE,debt,Other,1
6,200000,8,17,E,RENT,debt,Other,1
2,42000,10,17,A,RENT,purchase,Other,1
5,80000,9,11,E,RENT,debt,NY,1
10,120000,10,31,A,MORTGAGE,purchase,Other,1
4,45000,8,8,B,RENT,debt,IL,1
10,48000,5,13,E,MORTGAGE,debt,Other,1
2,80000,11,9,F,RENT,debt,CA,1
10,90000,13,9,B,MORTGAGE,debt,CA,1
4,75000,14,7,A,RENT,debt,Other,1
4,98000,6,8,D,RENT,debt,TX,1
1,118560,22,20,C,MORTGAGE,debt,TX,1
2,72000,5,19,A,RENT,debt,Other,1
3,140000,12,27,E,RENT,debt,CA,1
3,120000,15,21,B,MORTGAGE,debt,TX,1
7,77000,12,22,B,RENT,debt,GA,1
3,60000,6,5,A,MORTGAGE,purchase,Other,1
4,36000,6,3,C,OWN,purchase,Other,0
4,60000,7,8,C,RENT,purchase,Other,0
4,45000,7,9,C,RENT,debt,Other,1
10,117000,16,14,A,MORTGAGE,purchase,GA,1
6,25000,7,11,B,RENT,debt,Other,1
10,80000,6,18,C,OWN,debt,TX,1
10,48000,13,11,C,RENT,debt,Other,0
6,40800,5,7,B,MORTGAGE,debt,CA,1
5,18000,9,5,B,RENT,debt,Other,1
1,42500,6,10,B,RENT,debt,Other,1
1,45000,18,14,A,RENT,debt,TX,1
10,66000,9,11,C,MORTGAGE,purchase,Other,0
1,24000,14,6,B,OWN,debt,CA,1
10,110000,5,17,D,RENT,debt,NY,0
2,90000,8,24,B,MORTGAGE,purchase,GA,1
3,158000,13,11,F,MORTGAGE,debt,TX,1
4,32000,11,12,A,RENT,debt,Other,1
3,24947.3,12,15,B,RENT,debt,NY,0
7,40000,8,12,B,MORTGAGE,debt,Other,1
7,74000,7,11,B,RENT,debt,NY,1
3,70000,22,16,A,RENT,debt,CA,1
8,44100,14,15,A,RENT,debt,CA,1
10,55000,5,16,B,RENT,debt,Other,1
10,35000,6,11,D,RENT,debt,Other,1
10,83954,14,13,D,RENT,debt,NY,1
4,100000,5,14,A,OWN,purchase,NY,1
10,160000,14,12,D,RENT,debt,Other,1
1,35000,7,10,C,RENT,debt,Other,1
8,82000,6,11,A,MORTGAGE,debt,GA,1
4,43000,6,16,C,MORTGAGE,debt,Other,0
10,73000,7,20,A,MORTGAGE,debt,Other,1
5,30000,7,20,C,OWN,debt,Other,1
5,37000,7,11,C,RENT,debt,Other,1
4,30000,11,16,C,RENT,debt,Other,1
1,65000,13,10,B,RENT,debt,NY,1
5,36000,9,13,C,MORTGAGE,purchase,Other,0
4,75000,7,6,A,RENT,purchase,Other,1
5,54008,11,6,B,RENT,debt,CA,1
2,85000,6,9,B,MORTGAGE,debt,CA,1
10,54000,16,22,A,MORTGAGE,debt,Other,1
4,84000,19,19,A,MORTGAGE,debt,CA,1
5,66500,12,18,D,MORTGAGE,debt,CA,1
6,53004,6,11,B,MORTGAGE,purchase,TX,1
6,50000,12,12,E,OWN,debt,IL,0
6,71151,12,31,A,RENT,debt,CA,1
7,125000,10,23,A,MORTGAGE,debt,Other,1
10,180000,8,16,E,RENT,debt,FL,1
10,35000,12,17,A,MORTGAGE,debt,Other,1
10,63000,16,28,D,RENT,debt,FL,1
10,72000,9,10,E,RENT,debt,Other,0
5,64936,7,28,B,RENT,debt,CA,1
6,98000,7,14,C,RENT,debt,FL,0
8,25000,5,4,E,RENT,purchase,GA,0
4,105000,21,23,C,MORTGAGE,debt,CA,1
10,44000,9,21,B,RENT,purchase,Other,1
10,76000,6,17,D,OWN,debt,Other,0
2,24000,3,3,D,OWN,purchase,TX,1
10,57000,10,12,B,RENT,debt,CA,1
1,45000,14,6,D,RENT,debt,FL,1
8,72000,9,13,C,MORTGAGE,debt,Other,1
10,44000,7,17,D,RENT,debt,Other,1
10,60000,10,15,B,RENT,debt,Other,0
9,65000,7,23,B,RENT,debt,NY,1
1,65000,8,8,B,RENT,debt,CA,1
10,65000,11,15,D,RENT,debt,Other,1
6,125000,18,22,B,MORTGAGE,debt,Other,1
2,22500,5,6,C,MORTGAGE,debt,Other,1
10,47000,6,16,A,MORTGAGE,debt,CA,0
3,52000,8,12,C,OWN,debt,Other,1
6,25000,12,4,E,RENT,debt,FL,1
10,109992,13,28,F,MORTGAGE,purchase,Other,1
6,78301,11,20,A,MORTGAGE,debt,Other,1
10,43000,8,18,A,MORTGAGE,debt,GA,1
10,72000,8,10,C,MORTGAGE,debt,TX,1
10,65000,12,7,F,MORTGAGE,debt,TX,0
4,20400,2,7,D,RENT,purchase,Other,0
1,86124,15,13,D,OWN,debt,CA,0
1,24000,6,3,C,RENT,purchase,CA,0
1,32000,9,11,D,RENT,purchase,GA,0
6,36500,7,10,E,RENT,debt,FL,0
10,38000,9,16,B,MORTGAGE,debt,NY,1
1,21600,2,4,D,RENT,purchase,Other,1
2,41500,7,14,E,RENT,debt,Other,1
3,75000,19,12,C,MORTGAGE,debt,Other,1
10,67517.64,3,7,F,MORTGAGE,purchase,CA,0
3,34500,9,12,D,RENT,debt,Other,1
5,120000,17,16,E,MORTGAGE,purchase,Other,1
4,54600,8,10,B,MORTGAGE,purchase,CA,1
5,72000,10,19,D,MORTGAGE,debt,Other,1
4,70000,11,5,B,RENT,debt,CA,1
1,46000,15,6,B,RENT,purchase,Other,1
4,25000,9,5,C,RENT,debt,IL,1
10,65000,12,13,B,RENT,debt,Other,1
7,47000,14,6,B,RENT,debt,NY,1
4,25632,2,23,B,MORTGAGE,purchase,Other,1
8,50000,19,11,B,MORTGAGE,small_business,Other,1
10,70000,13,21,A,MORTGAGE,debt,CA,0
10,47500,11,15,A,MORTGAGE,purchase,NY,1
6,45000,3,18,D,MORTGAGE,purchase,Other,1
3,50000,8,7,D,RENT,purchase,Other,1
10,60000,4,18,C,MORTGAGE,debt,FL,0
2,90000,13,15,B,MORTGAGE,debt,Other,1
10,43000,7,11,A,MORTGAGE,debt,NY,1
5,65000,9,7,B,MORTGAGE,debt,CA,1
10,78000,10,28,B,MORTGAGE,debt,IL,1
6,102000,9,17,A,MORTGAGE,purchase,Other,1
10,60000,13,16,E,MORTGAGE,debt,TX,0
4,40000,9,10,C,RENT,purchase,CA,1
9,51000,10,5,C,RENT,debt,CA,0
4,125000,9,14,A,MORTGAGE,purchase,FL,1
10,158000,14,19,D,MORTGAGE,debt,Other,1
1,72000,13,6,C,OWN,debt,FL,1
2,21000,8,17,B,RENT,debt,CA,1
6,65000,9,23,E,MORTGAGE,debt,TX,0
1,110000,14,20,B,MORTGAGE,purchase,Other,1
1,56000,14,9,B,RENT,debt,Other,1
10,135800,11,17,C,MORTGAGE,debt,Other,1
2,72000,13,12,A,RENT,purchase,IL,1
5,102000,10,16,B,MORTGAGE,debt,Other,1
10,53100,5,11,A,OWN,debt,FL,1
2,65000,12,13,D,MORTGAGE,debt,Other,1
4,80000,8,9,A,RENT,purchase,Other,1
10,101000,9,14,B,MORTGAGE,debt,TX,1
4,38000,7,7,B,RENT,debt,TX,0
10,67171,8,15,A,RENT,purchase,NY,1
1,65000,9,23,G,MORTGAGE,debt,Other,0
10,56791,10,13,F,RENT,debt,Other,0
4,36000,6,9,B,MORTGAGE,debt,Other,1
10,111000,9,17,A,RENT,debt,NY,1
9,110000,11,25,B,OWN,purchase,NY,1
5,72000,12,19,B,MORTGAGE,debt,Other,1
10,53000,7,24,B,RENT,purchase,Other,1
3,115000,5,11,C,MORTGAGE,purchase,Other,1
1,73440,8,19,B,OWN,debt,Other,1
4,47000,4,11,B,RENT,debt,FL,0
10,40000,6,9,D,RENT,debt,Other,1
2,45000,18,5,B,RENT,debt,Other,1
2,87000,11,11,E,MORTGAGE,debt,Other,0
5,55000,8,25,E,OWN,debt,Other,1
2,36400,13,25,B,RENT,debt,TX,1
8,90000,9,11,C,MORTGAGE,debt,Other,1
4,45000,12,14,D,RENT,debt,TX,1
5,80000,9,11,B,MORTGAGE,debt,GA,1
10,45000,11,13,C,RENT,debt,Other,1
1,45000,9,12,B,RENT,debt,NY,1
6,68000,5,16,A,MORTGAGE,debt,Other,1
3,60000,12,8,B,MORTGAGE,purchase,FL,1
10,58000,7,24,C,MORTGAGE,debt,Other,1
7,75000,7,26,C,MORTGAGE,purchase,Other,1
10,51400,16,20,D,MORTGAGE,debt,Other,0
4,21600,3,10,D,RENT,debt,Other,0
10,90000,11,26,F,RENT,debt,Other,1
10,63000,11,13,A,MORTGAGE,debt,Other,1
3,72000,7,24,C,RENT,debt,Other,1
3,50000,8,6,B,RENT,debt,Other,1
3,67000,8,18,B,MORTGAGE,debt,Other,1
4,93000,9,4,C,RENT,debt,Other,1
6,109000,9,13,A,MORTGAGE,purchase,TX,1
8,45000,7,22,B,RENT,debt,Other,1
2,55000,7,11,A,MORTGAGE,debt,Other,1
2,28800,7,4,B,RENT,debt,Other,1
1,53000,12,9,A,RENT,purchase,Other,1
7,54000,12,12,B,MORTGAGE,debt,GA,0
6,65000,4,19,C,MORTGAGE,debt,Other,1
6,34500,12,10,D,RENT,debt,IL,1
7,75000,6,13,B,RENT,debt,GA,0
10,75000,11,13,B,MORTGAGE,small_business,Other,1
4,65000,9,14,E,MORTGAGE,debt,TX,1
9,31000,9,18,A,MORTGAGE,debt,FL,0
2,33000,9,13,F,OWN,debt,NY,0
10,36000,10,11,C,MORTGAGE,debt,Other,1
1,46000,10,15,C,MORTGAGE,debt,NY,1
2,25000,2,8,B,RENT,purchase,GA,0
1,90000,12,10,D,RENT,debt,TX,1
1,32000,10,6,C,RENT,debt,Other,1
1,42000,11,8,C,RENT,debt,FL,1
8,35000,10,16,C,MORTGAGE,debt,FL,1
10,62000,19,17,C,RENT,debt,TX,0
10,95300,10,18,F,MORTGAGE,debt,Other,1
6,26000,14,15,C,OWN,debt,FL,0
5,38400,13,8,B,RENT,debt,CA,1
10,45000,17,10,C,MORTGAGE,debt,Other,1
10,72000,16,14,E,RENT,debt,CA,0
10,82000,9,11,D,MORTGAGE,debt,CA,0
7,61000,7,6,C,RENT,debt,FL,1
5,58000,7,11,E,RENT,debt,CA,1
3,65000,4,8,C,RENT,debt,Other,1
2,20000,9,24,A,RENT,debt,CA,1
1,95000,13,13,B,RENT,debt,IL,0
9,35000,4,15,C,RENT,debt,Other,1
1,42500,10,12,B,RENT,debt,Other,1
10,75000,15,22,E,MORTGAGE,debt,Other,1
4,68000,11,10,B,RENT,debt,NY,1
4,37000,6,11,A,RENT,debt,Other,1
8,30000,5,23,A,RENT,debt,CA,1
2,55000,11,10,A,RENT,debt,Other,1
4,21600,6,4,B,RENT,purchase,CA,1
6,103000,8,17,E,MORTGAGE,debt,Other,1
1,70000,4,14,C,MORTGAGE,debt,Other,1
5,86000,11,15,C,MORTGAGE,debt,TX,1
5,50000,5,11,D,OWN,debt,CA,1
10,102000,17,14,C,RENT,debt,Other,1
1,36000,9,12,A,MORTGAGE,debt,Other,1
1,75000,5,16,A,MORTGAGE,purchase,FL,1
10,58000,7,19,B,RENT,debt,NY,1
2,36000,3,5,E,RENT,debt,Other,1
10,100000,9,20,C,OWN,purchase,NY,1
10,45000,15,25,A,MORTGAGE,purchase,TX,1
1,55000,8,7,E,RENT,debt,CA,1
3,49000,11,12,D,RENT,debt,Other,1
7,85000,17,14,F,RENT,debt,Other,1
2,26000,8,7,B,RENT,debt,Other,1
3,40000,9,8,D,RENT,debt,CA,1
10,45136,12,11,B,MORTGAGE,debt,NY,1
3,78050,10,14,E,RENT,debt,Other,0
8,32000,10,14,A,MORTGAGE,debt,FL,1
1,102000,10,10,D,RENT,debt,Other,0
4,50000,9,6,B,RENT,debt,NY,1
10,46000,9,9,C,RENT,debt,Other,1
10,136000,8,21,B,MORTGAGE,debt,NY,1
2,62100,9,13,B,MORTGAGE,small_business,Other,1
10,88620,12,16,A,MORTGAGE,debt,Other,1
3,61938,5,20,C,MORTGAGE,debt,Other,0
10,98400,13,19,A,MORTGAGE,debt,IL,1
10,65000,7,10,E,RENT,debt,Other,1
1,30000,7,8,B,RENT,debt,IL,1
4,41000,17,13,C,RENT,debt,NY,0
10,48000,9,18,B,MORTGAGE,debt,Other,1
8,55000,10,14,D,MORTGAGE,debt,GA,0
7,52000,7,17,C,MORTGAGE,purchase,Other,1
10,48000,8,18,B,MORTGAGE,debt,Other,1
10,85500,14,22,C,MORTGAGE,debt,Other,0
10,75000,9,24,A,RENT,debt,Other,0
10,50000,8,13,B,RENT,debt,FL,1
10,25000,7,8,C,MORTGAGE,debt,Other,1
1,35000,10,6,C,RENT,purchase,NY,0
8,49639.62,22,18,C,RENT,debt,Other,1
6,40752,12,5,C,RENT,purchase,CA,1
1,62000,16,28,A,MORTGAGE,debt,Other,1
10,50000,2,11,E,RENT,small_business,CA,0
1,72000,9,8,D,RENT,purchase,CA,1
4,95000,10,12,A,RENT,debt,CA,1
10,78000,13,17,C,MORTGAGE,debt,Other,0
10,125000,16,27,C,MORTGAGE,debt,CA,1
3,50000,7,7,D,RENT,debt,CA,1
